natx =      361
    x       y        z       iph  
      1.17289      7.56941      0.80388   0      0.00000
      2.57647      7.67229     -0.56892   1      1.96601
      0.43378      9.18638      1.69540   3      1.98889
      0.00229      6.14886      0.01377   1      2.00313
      1.40544      6.25218     -1.35669   2      2.54111
     -1.16699      7.57725     -0.76480   2      2.81707
      1.64131      9.19127     -1.51013   2      2.86435
      3.51518      9.18900      0.37510   2      2.87980
      0.93979      4.62814      0.95169   2      2.95419
      3.74481      6.24304      0.20790   2      2.95453
     -1.40259      6.24089      1.38508   2      2.95565
      2.91122      7.59290      3.23921   2      2.99219
      1.17476     10.80170      0.80647   2      3.23229
     -1.63222      9.18685      1.55227   2      3.32338
      3.65150      9.21020      2.35025   3      3.35067
     -0.42670      9.19454     -1.65376   3      3.35257
      0.57211      9.20477      3.67105   2      3.35500
      0.33624      6.26568      3.82449   2      3.39467
      3.00699      4.62517      1.09611   3      3.48107
      1.07595      4.65221      2.93010   3      3.61113
      2.57830     10.70870     -0.56605   1      3.70230
     -2.57094      7.67014      0.60825   1      3.75029
      1.50727      7.68580      4.61226   1      3.82480
      3.98041      7.57940     -1.94197   2      3.92708
     -0.93609      4.63196     -0.93079   2      4.01067
     -1.49590      9.20805      3.52743   3      4.15034
      3.14212      4.64761      3.07322   2      4.19102
     -1.16525     10.80920     -0.75992   2      4.29053
      2.14514      4.63870     -2.25109   3      4.34364
      2.91296     10.82480      3.24408   2      4.42493
      4.08050      6.16451      4.01778   1      4.55600
      1.50298      9.17288     -3.48579   3      4.59144
      5.14970      6.15101     -1.16341   1      4.65802
     -2.14042      4.62302      2.27329   3      4.67102
      0.00186      3.11170      0.00750   1      4.67725
      5.58118      9.18853      0.51822   3      4.70491
      5.48364      6.26783      2.64732   2      4.86569
      0.00563     12.23060      0.02850   1      4.86728
     -2.56910     10.70660      0.61112   1      4.88688
      1.50910     10.72230      4.61513   1      4.95776
     -2.23619      7.59076      4.41639   2      4.96714
      2.67562      6.25655      5.38908   2      5.00059
     -0.33339      6.22738     -3.79611   2      5.02293
     -0.56303      9.17334     -3.62891   2      5.02351
      1.40482      3.01774     -1.36632   2      5.04790
      1.40860     12.13660     -1.34532   2      5.05310
     -3.50610      9.18912     -0.33296   2      5.08024
      3.98215     10.81130     -1.93710   2      5.09065
      5.71952      9.20692      2.49388   2      5.11951
     -1.06691      6.16236      5.19495   1      5.12621
      4.21132      4.63410     -2.10796   2      5.13098
     -3.74197      6.25003     -0.17951   2      5.18302
      2.44599      9.20251      5.55628   2      5.18393
     -1.07122      4.60951     -2.90790   3      5.25113
     -1.39843     12.12730      1.40112   2      5.26714
      3.74520      3.01060      0.20294   2      5.26884
      3.74897     12.12950      0.22394   2      5.26943
     -1.40221      3.00845      1.38012   2      5.26930
     -3.97431      7.56753      1.98114   2      5.28011
      6.32050      7.57183     -0.37322   2      5.28048
      2.24229      7.55617     -4.37722   2      5.29033
      0.10390      7.58318      5.98514   2      5.29040
      4.72070      9.19669     -2.83093   3      5.33356
     -3.00226      4.63655     -1.07391   3      5.43688
      0.33563      3.03124      3.81486   2      5.51017
     -2.00528      4.64546      4.25040   2      5.52528
      0.33940     12.15010      3.83586   2      5.55611
     -2.90511      7.55402     -3.20005   2      5.71505
      5.25130      7.58533      4.80797   2      5.71545
      6.08719      4.63029     -0.22549   2      5.81794
      1.17099      1.68281      0.78547   2      5.88663
      2.00898      4.61463     -4.22949   2      5.89615
      6.22335      4.65436      1.75292   3      5.90807
     -2.23445     10.82270      4.42126   2      5.93964
     -3.64443      9.17073     -2.30861   3      5.95469
     -1.50174      7.65663     -4.57293   1      6.00594
      6.65468      7.68795      3.43508   1      6.08172
      1.07149      6.13535     -5.16742   1      6.14192
      4.51199      9.20204      5.69940   3      6.14664
      0.94356     13.74700      0.97269   2      6.18415
     -3.97264     10.79960      1.98365   2      6.18890
      2.24396     10.78820     -4.37471   2      6.19077
      6.32217     10.80380     -0.37071   2      6.19322
      4.08007      3.12736      4.01151   1      6.20261
      0.10557     10.81520      5.98765   2      6.20853
     -0.12941      4.64165      6.13287   2      6.21819
      1.93779      4.63868      6.27730   3      6.25560
     -4.20762      4.62599      2.12887   2      6.27449
